كفايات التنشئة الوطنية ومعاييرها للصفوف 3-4
1447هـ/ 2026م
كفايات ومعايير التنشئة الوطنية للصف الرابع الأساسي
[TABLE 1]
المجالات | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
تراثي | التراث والثقافة الفلسطينية | التعرف إلى التراث الفلسطيني ومكوناته. | الوعي بمفهوم التراث الفلسطيني ويحدد أقسامه. | يوضح مفهوم التراث الفلسطيني بدقة، ويميز بين التراث المادي والمعنوي، ويقدم أمثلة متنوعة لكل منهما.  / يصنف عناصر التراث الفلسطيني بدقة ضمن فئاتها المناسبة، ويقدم أمثلة متنوعة وصحيحة لكل فئة.  / يُظهر اعتزازاً واضحاً بالتراث الفلسطيني، ويشارك بإيجابية في الأنشطة التي تسهم في المحافظة عليه ونقله للأجيال القادمة. | - يوضح مفهوم التراث الفلسطيني ويحدد بعض أقسامه مع أمثلة محدودة.  / - يصنف بعض عناصر التراث بصورة صحيحة مع حاجة إلى مزيد من التوضيح أو الأمثلة.  /  - يُظهر احتراماً واهتماماً بالتراث الفلسطيني في معظم المواقف الصفية والحياتية. | - يذكر معلومات محدودة عن التراث الفلسطيني. / - يحتاج إلى دعم لتصنيف عناصر التراث. / - يُظهر اهتماماً محدوداً بالتراث الفلسطيني ويحتاج إلى تعزيز قيم الاعتزاز والمحافظة عليه.
تراثي | التراث والثقافة الفلسطينية | المقارنة بين أنماط السكن الفلسطيني قديماً وحديثاً. | المقارنة بين البيت الفلسطيني القديم والبيت الفلسطيني الحديث. | يوضح خصائص البيت الفلسطيني القديم والحديث بدقة، ويبين أوجه الاختلاف والتشابه بينهما بأمثلة واضحة.  / يصمم جدول مقارنة منظم ودقيق يوضح أوجه الشبه والاختلاف بين أنماط السكن، من حيث شكله وأقسامه ومواد بنائه معتمدا على نفسه. / يظهر مهارة وإبداعاً في الرسم والتلوين وإبراز الجوانب الجمالية. / يُظهر تقديراً واعتزازاً واضحين بالبيوت التراثية الفلسطينية، ويحرص على التعرف إلى أهميتها والمحافظة عليها. | يوضح بعض خصائص البيت القديم والحديث مع وجود نقص في التفاصيل. / يقارن بين أنماط السكن في جدول يذكر فروقا بسيطة بين البيتين القديم والحديث، وبمساعدة وتوجيه. / يشارك في الرسم والتلوين مع حاجة إلى مزيد من الدقة أو التنظيم.  /  يُظهر احتراماً واهتماماً بالبيوت التراثية الفلسطينية في معظم المواقف الصفية. | يذكر معلومات محدودة عن انماط البيوت الفلسطينية.  / يحتاج إلى دعم لإجراء المقارنة. / يلون أجزاء من البيت القديم والبيت الحديث. / يُظهر تقديراً محدوداً للبيوت التراثية ويحتاج إلى تعزيز الوعي بقيمتها التراثية.
تراثي | التراث والثقافة الفلسطينية | تقدير أهمية المحافظة على البيوت التراثية. | استنتاج أهمية ترميم البيوت القديمة والاستفادة منها. | يوضح أهمية ترميم البيوت القديمة والمحافظة عليها بدقة، ويبين دورها في حفظ الهوية والتراث الفلسطيني للأجيال القادمة.  / يقترح أفكاراً متنوعة وواقعية للاستفادة من البيوت التراثية. /  ينظم أو يشارك بفاعلية في زيارة ميدانية لبيت قديم، ويوثق المشاهدات بالصور ويعرضها ويناقشها بوضوح.  / يُظهر مسؤولية واعتزازاً واضحين بالتراث الفلسطيني، ويحرص على المحافظة على المعالم التراثية والتعريف بأهميتها. | - يوضح أهمية ترميم البيوت القديمة بصورة عامة مع بعض الأمثلة. / - يقترح بعض الأفكار للمحافظة على البيوت التراثية، وترميمها. /  - يشارك في التوثيق وعرض الصور أو مناقشتها مع حاجة إلى المساعدة والدعم. / - يُظهر اهتماماً واحتراماً للتراث الفلسطيني في معظم المواقف الصفية والحياتية. | - يذكر معلومات محدودة حول أهمية المحافظة على البيوت التراثية. / - يحتاج إلى دعم لفهم أهمية ترميمها.  /  - يشارك في الزيارة الميدانية دون أن يكون له أي دور واضح. / - يُظهر اهتماماً محدوداً بالتراث الفلسطيني ويحتاج إلى تعزيز قيم المحافظة عليه وحمايته.
تراثي | التراث والثقافة الفلسطينية | تقدير الأدوات التراثية والمتاحف. | التعرف الى الأدوات التراثية الفلسطينية القديمة وبيان أهمية إقامة المتاحف الأثرية والمعارض التراثية | يسمي الأدوات التراثية الفلسطينية بدقة، ويشرح استخداماتها، ويحدد البدائل الحديثة لها بأمثلة متنوعة وصحيحة. / يوضح أهمية المتاحف والمعارض التراثية بوضوح، ويربط بدقة بين الأدوات التراثية ودور المتاحف في حفظها وتوثيقها للأجيال القادمة.  /  يُظهر احتراماً واعتزازاً واضحين بالموروث الثقافي الفلسطيني، ويشارك بإيجابية في الأنشطة التي تعزز المحافظة عليه. | يسمي بعض الأدوات التراثية ويذكر استخداماتها أو بدائلها الحديثة بصورة عامة. / يشرح أهمية المتاحف والمعارض التراثية، ويجري بعض الروابط بين الأدوات التراثية ودورها في الحفظ. / يُظهر احتراماً للموروث الثقافي الفلسطيني في معظم المواقف الصفية والحياتية. | يذكر أسماء محدودة لأدوات تراثية، ويحدد استخدام بعض منها. /  يحتاج إلى دعم لفهم دور وأهمية المتاحف والمعارض وربطها بالأدوات التراثية.  / يُظهر اهتماماً محدوداً بالموروث الثقافي الفلسطيني ويحتاج إلى تعزيز قيم المحافظة عليه.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى الأزياء التراثية الفلسطينية والمحافظة عليها. | التعرف إلى الملابس التراثية الخاصة بكل من الرجل والمرأة في فلسطين. | يميز بدقة بين الملابس التراثية للرجل والمرأة، ويسمي نماذج متنوعة منها، ويفسر أهمية الكوفية الفلسطينية ودلالاتها الوطنية والثقافية بوضوح.  / يميز بدقة بين الملابس القديمة والحديثة، ويتعرف إلى الأزياء التراثية من الصور، ويربط بينها وبين الهوية الفلسطينية، ويقترح أساليب متنوعة للمحافظة عليها. / يُظهر اعتزازاً واضحاً بالزي الفلسطيني التقليدي، ويعبر عن تقديره لقيمته الثقافية والوطنية، ويحرص على المحافظة عليه والتعريف به. | يميز بعض الملابس التراثية ويسمي عدداً منها، ويذكر أهمية عامة للكوفية الفلسطينية.  / يميز بين بعض الملابس القديمة والحديثة، ويتعرف إلى عدد من الأزياء التراثية مع حاجة إلى مزيد من التوضيح أو الربط. / يُظهر احتراماً واهتماماً بالزي الفلسطيني التقليدي في معظم المواقف الصفية والحياتية. | - يذكر معلومات محدودة عن الملابس والازياء التراثية. / - يحاول التمييز بين بعض الملابس القديمة والحديثة وملابس الرجل الفلسطيني التراثية القديمة وملابس المرأة الفلسطينية ولا يستطيع أن يشير إلى صور تمثل كلا منها على حدة بطريقة صحيحة. / - يُظهر اهتماماً محدوداً بالزي الفلسطيني التقليدي ويحتاج إلى تعزيز قيم الاعتزاز بالهوية والتراث.
تراثي | التراث والثقافة الفلسطينية | . | اقتراح طرق المحافظة عليها. | يقترح طرقاً متعددة وواقعية للمحافظة على الملابس التراثية، ويبين أهميتها في حفظ الهوية والتراث الفلسطيني.  / يلون الملابس التراثية بدقة وجمال، ويصنفها بصورة صحيحة حسب الزمن، ويعرض صوراً أو نماذج متنوعة ويشرح أهميتها وطرق المحافظة عليها بوضوح. / يجمع ملابس تراثية قديمة أو يعرض صورا لها ويشرح الواجب تجاهها. / يُظهر اعتزازاً واضحاً بالأزياء التراثية الفلسطينية، ويحرص على المحافظة عليها والتعريف بقيمتها الثقافية والوطنية. | - يقترح بعض الطرق المناسبة للمحافظة على الملابس التراثية، ويذكر أهميتها بصورة عامة. / - يشارك في التلوين والتصنيف والعرض مع وجود بعض الأخطاء البسيطة أو الحاجة إلى مزيد من التنظيم. / - يجمع بعضا من الملابس التراثية القديمة أو يعرض صورا لها ويظهر معرفة محدودة بالواجب تجاهها. / - يُظهر احتراماً واهتماماً بالملابس التراثية في معظم المواقف الصفية والحياتية. | - يذكر أفكاراً محدودة أو غير مكتملة حول المحافظة على الملابس التراثية. / - يلون الملابس الفلسطينية. / - يُظهر اهتماماً محدوداً بالملابس التراثية ويحتاج إلى تعزيز قيم الاعتزاز بالتراث والمحافظة عليه.
تراثي | التراث والثقافة الفلسطينية | تقدير قيمة الثوب الفلسطيني بوصفه رمزاً وطنياً وثقافياً. | إدراك أهمية الثوب الفلسطيني المطرز ويوضح استخداماته. | يوضح أهمية الثوب الفلسطيني واستخداماته بدقة، ويبين العلاقة بين التطريز الفلسطيني والهوية الوطنية والتراث الثقافي بأمثلة واضحة.  / يقترح طرقاً متعددة وفعالة للمحافظة على الملابس التراثية، ويشارك بفاعلية في تنظيم وتنفيذ معرض مصغر للمطرزات الفلسطينية، ويظهر إبداعاً ودقة في تلوين الثوب الفلسطيني وإبراز جمالياته.  / يُظهر فخراً واعتزازاً واضحين بالثوب الفلسطيني، ويحرص على التعريف بقيمته الثقافية والوطنية والمحافظة عليه. | - يوضح أهمية الثوب الفلسطيني ويذكر بعض استخداماته، ويربط بصورة عامة بين التطريز والهوية الوطنية.  / - يقترح بعض الطرق للمحافظة على الملابس التراثية، ويشارك في تجهيز المعرض والتلوين مع حاجة إلى مزيد من التنظيم أو الإتقان. / - يُظهر احتراماً واعتزازاً بالثوب الفلسطيني في معظم المواقف الصفية والحياتية. | - يذكر معلومات محدودة عن الثوب الفلسطيني والتطريز.  / - يحاول المشاركة في الأنشطة والتلوين ويحتاج إلى دعم وتوجيه. / - يُظهر اهتماماً محدوداً بالثوب الفلسطيني ويحتاج إلى تعزيز قيم الاعتزاز بالهوية والتراث الوطني.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى المأكولات الشعبية الفلسطينية وتنوعها /  / . | التعرف على أنواع الأكلات الشعبية الفلسطينية ويذكر أكلات شعبية مصدرها نباتات برية. | يسمي أنواعاً متعددة من الأكلات الشعبية الفلسطينية بدقة، ويحدد مصادرها ومكوناتها، ويذكر أمثلة متنوعة من النباتات البرية المستخدمة في الطهي. / يصمم جدولاً منظماً ودقيقاً للأكلات الشعبية ومكوناتها، ويجمع صوراً متنوعة للنباتات البرية، ويعرضها ويناقش فوائدها وأهمية الحفاظ عليها بوضوح.  / يُظهر تقديراً واضحاً للموروث الغذائي الفلسطيني، ويحرص على التعرف إليه والمحافظة عليه والتوعية بأهميته. | - يسمي بعض الأكلات الشعبية ويذكر مصادر أو أمثلة محدودة للنباتات البرية. / - يصمم جدولاً بسيطاً لبعض الأكلات الشعبية، ويشارك في جمع وعرض بعض الصور لنباتات برية مع حاجة إلى مزيد من التنظيم أو التوضيح. / - يُظهر احتراماً وتقديراً للموروث الغذائي في معظم المواقف الصفية. | - يذكر أسماء محدودة لأكلات شعبية ونباتات برية.  / - يحتاج الى مساعدة ودعم لإعداد جدولا أو جمع صور لبعض الأكلات الشعبية والنباتات البرية. / - يحتاج إلى دعم للتعرف إلى مصادر الأطعمة الشعبية.  / - يُظهر اهتماماً محدوداً بالموروث الغذائي ويحتاج إلى تعزيز قيم الاعتزاز به.
تراثي | التراث والثقافة الفلسطينية | المقارنة بين وسائل الطهي التقليدية والحديثة | تبيان الوسائل المستخدمة في الطهي قديما وحديثا | يوضح وسائل الطهي القديمة والحديثة بدقة، ويقارن بينها من حيث الاستخدام والتطور مع أمثلة واضحة ومتنوعة. / يصمم جدولاً منظماً ودقيقاً يقارن بين أدوات الطهي القديمة والحديثة، ويستخدم الصور بشكل صحيح ومستقل ويعرضها بوضوح.  / يُظهر تقديراً واضحاً للتطور في وسائل الطهي مع الحفاظ على احترام التراث وأصالته، ويعبر عن ذلك في مواقفه وسلوكه. | - يوضح بعض وسائل الطهي القديمة والحديثة ويقارن بينها بصورة عامة. / - يصمم جدولا يقارن فيه بين معظم أدوات الطهي قديما والأداة البديلة لها حاليا من خلال بعض الصور. / يُظهر احتراماً للتطور والتراث في معظم المواقف الصفية. | - يذكر معلومات محدودة عن وسائل الطهي. / - يحتاج إلى دعم لإعداد الدول او استخدام صور لإجراء المقارنة.  / - يصمم جدولا بسيطا يقارن فيه بين بعض أدوات الطهي قديما والأداة البديلة لها حاليا من خلال الصور وبمساعدة المعلم.  / - يُظهر تقديراً محدوداً للتطور أو التراث ويحتاج إلى تعزيز الوعي والتوازن بينهما.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى أساليب حفظ الغذاء عبر الزمن. | تبيان الطرق التي استخدمها الفلسطيني في حفظ المواد الغذائية قديما وحديثا | يوضح طرق حفظ الغذاء قديماً وحديثاً بدقة، ويبين الفروق بينها مع أمثلة واضحة ومتنوعة.  / يقارن بوضوح ودقة بين أساليب حفظ الغذاء التقليدية والحديثة، ويحلل مزايا كل منها بأمثلة مناسبة.  / يُظهر وعياً واضحاً بأهمية المحافظة على الغذاء، ويحرص على تقليل الهدر في ممارساته اليومية. | - يوضح بعض طرق حفظ الغذاء القديمة والحديثة ويقارن بينها بصورة عامة. / - يقارن بين بعض أساليب حفظ الغذاء مع حاجة إلى مزيد من التوضيح أو والمساعدة. / - يُظهر اهتماماً بالمحافظة على الغذاء في معظم المواقف الصفية والحياتية. | - يذكر معلومات محدودة عن طرق حفظ الغذاء. / - يحتاج إلى دعم ومساعدة لإجراء المقارنة بين أساليب حفظ الغذاء.. / - يُظهر وعياً محدوداً بأهمية الغذاء وعدم هدره ويحتاج إلى تعزيز السلوك الإيجابي.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى العادات والتقاليد المرتبطة بالعرس الفلسطيني. | التعرف أبرز مظاهر العرس الفلسطيني. | يوضح مظاهر العرس الفلسطيني وعاداته بدقة، ويصف تفاصيل الاحتفال والعادات المرتبطة به بأسلوب منظم وواضح مع أمثلة متنوعة.  / يصمم بطاقة دعوة للعرس الفلسطيني مكتملة العناصر، منظمة وجذابة وتعبّر عن المناسبة بوضوح.  / يُظهر احتراماً واضحاً للعادات والتقاليد الفلسطينية، ويقدر أهمية المشاركة الاجتماعية في الأعراس الفلسطينية. | - يوضح بعض مظاهر العرس الفلسطيني ويصف الاحتفال بصورة عامة. / - يصمم بطاقة دعوة تحتوي على بعض العناصر الأساسية مع حاجة إلى مزيد من التنظيم.  / - يُظهر احتراماً للعادات والتقاليد في معظم المواقف الصفية والحياتية، ويدرك بعض واجباتنا في الأعراس الفلسطينية. | - يذكر معلومات محدودة عن مظاهر العرس الفلسطيني. / - يصمم بطاقة بمساعدة وتوجيه لدعوة حضور عرس فلسطيني تظهر بعض العناصر. / - يُظهر احتراماً محدوداً للعادات والتقاليد ويحتاج إلى تعزيز قيم التقدير والانتماء الثقافي.
تراثي | التراث والثقافة الفلسطينية | المقارنة بين مظاهر العرس الفلسطيني قديماً وحديثاً. | المقارنة بين العرس الفلسطيني قديما وحديثا من حيث الأدوات الموسيقية. | يوضح الفروق بين الأدوات الموسيقية القديمة والحديثة في الأعراس الفلسطينية بدقة، ويقدم أمثلة متنوعة وواضحة لكل نوع.  / يجري مقارنة منظمة ودقيقة بين العرس الفلسطيني قديماً وحديثاً من حيث العادات والأدوات والمظاهر بشكل واضح ومترابط. / يُظهر تقديراً واضحاً للتطور في مظاهر الأعراس مع الحفاظ على التراث الفلسطيني واحترامه. | يوضح بعض الفروق بين الأدوات الموسيقية القديمة والحديثة ويذكر أمثلة محدودة. / يجري مقارنة بين بعض جوانب العرس قديماً وحديثاً مع حاجة المساعدة والتوجيه. / يُظهر احتراماً للتطور والتراث في معظم المواقف الصفية. | يذكر معلومات محدودة حول الأدوات الموسيقية في الأعراس الفلسطينية. /  يحتاج إلى دعم لإجراء المقارنة بين العرس قديماً وحديثاً. / يُظهر تقديراً محدوداً للتطور أو التراث ويحتاج إلى تعزيز الوعي والتوازن بينهما.
تراثي | التراث والثقافة الفلسطينية | تبني السلوكيات الإيجابية في المناسبات الاجتماعية. | التمييز بين السلوكيات الايجابية والسلبية في العرس الفلسطيني. | يميز بدقة بين السلوكيات الإيجابية والسلبية في الأعراس، ويقدم أمثلة واضحة، ويحلل بعض الممارسات مثل الدبكة الشعبية والالتزام بالمكان المناسب بصورة صحيح.  / يطبق السلوكيات الإيجابية باستمرار في المواقف الصفية والاجتماعية، ويعبر عن رأيه بوضوح في الممارسات الاجتماعية، ويحاكم السلوكيات غير المناسبة مثل إطلاق الرصاص أو الإزعاج ليلاً بطريقة واعية.  / يُظهر احتراماً واضحاً للآخرين، ويلتزم بالقيم الاجتماعية ويشجع السلوكيات الإيجابية في المناسبات الاجتماعية. | - يميز بين بعض السلوكيات الإيجابية والسلبية ويذكر أمثلة محدودة. / - يطبق بعض السلوكيات الإيجابية ويعبر عن رأيه في بعض المواقف الاجتماعية مع حاجة إلى توجيه. / - يُظهر احتراماً للقيم الاجتماعية في معظم المواقف الصفية والحياتية. | يذكر سلوكيات محدودة دون تمييز واضح. / يحاول تطبيق السلوكيات الإيجابية ويحتاج إلى دعم في إبداء الرأي والحكم على السلوكيات. / يُظهر احتراماً محدوداً للقيم الاجتماعية ويحتاج إلى تعزيز السلوك الإيجابي.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى الألعاب الشعبية الفلسطينية. | المعرفة ب مفهوم الألعاب الشعبية، يعرف بعض الألعاب الشعبية القديمة الخاصة في الذكور والإناث | يوضح مفهوم الألعاب الشعبية بدقة، ويذكر أمثلة متنوعة من الألعاب الشعبية الفلسطينية الخاصة بالأولاد والإناث، ويبين خصائصه. / يشارك بفاعلية في الألعاب الشعبية ملتزماً بقواعدها، ويظهر تعاوناً واحتراماً للآخرين، ويحافظ على الهدوء والنظام أثناء اللعب، مثل (طاق طاقية). / يُظهر تقديراً واضحاً للألعاب التراثية الفلسطينية، ويعزز روح التعاون والمحبة والعمل الجماعي أثناء المشاركة فيها. | - يوضح مفهوم الألعاب الشعبية ويذكر بعض الأمثلة المناسبة. / - يشارك في الألعاب الشعبية ويلتزم بمعظم القواعد مع حاجة إلى بعض التوجيه مثل (طاق طاقية). / - يُظهر احتراماً للألعاب التراثية ويتعاون مع الآخرين في معظم المواقف. | - يذكر أسماء محدودة لبعض الألعاب الشعبية. / - يشارك في الألعاب الشعبية ويحتاج إلى دعم للالتزام بالقواعد والتعاون مع الآخرين. / - يُظهر اهتماماً محدوداً بالألعاب التراثية والعمل الجماعي ويحتاج إلى تعزيز هذه القيم.
تراثي | التراث والثقافة الفلسطينية | التعرف إلى الألعاب الحديثة المناسبة للأطفال. | تبيان بعض الألعاب الحديثة التي نلعبها | يذكر أنواع الألعاب الحديثة المناسبة للأطفال بدقة، ويقدم أمثلة متنوعة على الألعاب الإلكترونية والرياضية والبدنية والمصنعة وألعاب المنتزهات.  / يختار الألعاب المناسبة لعمره واهتماماته بصورة واعية، ويميز بين الألعاب المفيدة وغير المناسبة. / يُظهر وعياً واضحاً بأهمية التوازن بين الألعاب الحديثة والتعلم والأنشطة الأخرى، ويلتزم بالاستخدام المسؤول لها. | - يذكر بعض أنواع الألعاب الحديثة ويعطي أمثلة محدودة عليها. / - يختار معظم الألعاب المناسبة لعمره مع حاجة إلى بعض التوجيه. / - يُظهر وعياً بالاستخدام المتوازن للألعاب الحديثة في معظم المواقف. | - يذكر ألعاباً محدودة دون تمييز مناسب. - يحتاج إلى دعم وإرشاد لاختيار الألعاب الملائمة لعمره.  / - يُظهر وعياً محدوداً بالاستخدام المتوازن للألعاب الحديثة ويحتاج إلى تعزيز هذا السلوك.
تراثي | التراث والثقافة الفلسطينية | تقدير أهمية اللعب في حياة الطفل. | إدراك أهمية الألعاب الشعبية والألعاب الحديثة | يوضح أهمية اللعب بدقة، ويبين أثره في النمو الجسدي والاجتماعي والنفسي بأمثلة واضحة ومتنوعة. / يصنف الألعاب بدقة وفق المهارات التي تنميها ك ( التفكير، التعاون، الابداع)، وينظم وقته بفاعلية لتحقيق التوازن بين التعلم واللعب. / يُظهر سلوكاً إيجابياً واضحاً أثناء اللعب، ويتعاون مع الآخرين ويحترم القواعد ويشجع العمل الجماعي. | - يوضح أهمية اللعب ويذكر بعض آثاره في النمو بصورة عامة. / - يصنف بعض الألعاب بصورة صحيحة، ويحاول الموازنة بين التعلم واللعب مع حاجة إلى مزيد من التنظيم. / - يُظهر تعاوناً واحتراماً أثناء اللعب في معظم المواقف. | - يذكر معلومات محدودة عن أهمية اللعب. / - يحتاج إلى توجيه ومساعدة لتصنيف الألعاب وتنظيم وقته.  / - يُظهر سلوكاً إيجابياً محدوداً أثناء اللعب ويحتاج إلى تعزيز قيم التعاون والاحترام.
تراثي | التراث والثقافة الفلسطينية | فهم الأمثال الشعبية الفلسطينية ودلالاتها الثقافية. | الوعي مفهوم المثل الشعبي، ويقدم أمثلة عليه، واستنتاج مدلولاته | يوضح مفهوم المثل الشعبي بدقة، ويطرح أمثلة متنوعة من الأمثال الشعبية، ويفسر مدلولاتها والقيم التي تعززها مثل الصدق والأمانة والتوكل على الله والكرم والعمل. / يرتب الكلمات بدقة معتمدا على نفسه لتكوين أمثال شعبية صحيحة، ويربط بينها وبين مواقف حياتية متنوعة موضحاً دلالاتها المناسبة. / يُظهر تقديراً واعتزازاً واضحين بالحكمة الشعبية والتراث الثقافي الفلسطيني، ويحرص على المحافظة عليهما وتداولهما. | - يوضح مفهوم المثل الشعبي ويذكر بعض الأمثلة ويفسر جزءاً من مدلولاتها. / - يرتب بعض الكلمات بمساعدة لتكوين أمثال شعبية، ويربط بينها وبين مواقف حياتية بسيطة مع حاجة إلى مزيد من التوضيح. / - يُظهر احتراماً وتقديراً للأمثال الشعبية والتراث الثقافي في معظم المواقف الصفية والحياتية. | يذكر أمثالاً محدودة دون فهم واضح لمعانيها. / يحتاج لدعم ومساندة في محاولة ترتيب كلمات متفرقة لتكوين مثل شعبي، أو ربطها بالمواقف الحياتية. /  يُظهر اهتماماً محدوداً بالأمثال الشعبية والتراث الثقافي ويحتاج إلى تعزيز قيم الاعتزاز بهما.
مدنيات | حقوق الطفل والعيش الآمن والصحي | إدراك مقومات العيش الآمن للطفل. | استنتاج مظاهر العيش الآمن (الحماية النفسية، والجسدية، والمسكن، والغذاء الصحي، والتعليم، والتعبير عن الذات، واللعب). | يوضح مظاهر العيش الآمن بدقة وشمولية، مثل (الحماية النفسية والجسدية والغذاء الصحي والتعليم واللعب والمسكن والتعبير عن الذات)، ويبين أهمية كل منها في حماية الطفل ونموه السليم.  / يحلل مواقف تتعلق بالعيش الأمن بدقة، ويحدد السلوكيات الإيجابية والسلبية، ويقترح حلولاً عملية ومناسبة للمحافظة على سلامة الأطفال.  / يُظهر احتراماً واضحاً لحقوقه وحقوق الآخرين، ويتعامل بإيجابية وتعاون واحترام مع أقرانه في مختلف المواقف. | يوضح معظم مظاهر العيش الآمن ويبين أهميتها بصورة عامة. / يحلل بعض المواقف بصورة صحيحة بمساعدة بسيطة من المعلم، ويقترح حلولاً بسيطة مع حاجة إلى مزيد من التوضيح. / يُظهر احتراماً لحقوق الآخرين ويتعامل بإيجابية في معظم المواقف الصفية والحياتية. | يذكر بعض مظاهر العيش الآمن بصورة بسيطة أو غير مكتملة. / يحاول تحليل المواقف واقتراح الحلول ويحتاج إلى دعم وتوجيه. / يُظهر تقديراً محدوداً للحقوق ويحتاج إلى تعزيز قيم الاحترام والتعاون والتعايش الآمن.
مدنيات | حقوق الطفل والعيش الآمن والصحي | التعرف إلى أشكال العنف ضد الأطفال. | ذكر أشكال العنف التي يتعرض لها الطفل الفلسطيني. | يحدد أشكال العنف الجسدي والنفسي والاجتماعي التي قد يتعرض لها الطفل بدقة، ويشرح آثارها السلبية على الطفل مستخدماً أمثلة مناسبة، مثل: (العمل في سن مبكرة، التسول، التشرد، الإهمال الصحي، الضرب والحرمان).  / يميز بدقة بين السلوكيات الآمنة وغير الآمنة، ويحلل المواقف الحياتية ويختار التصرف المناسب للمحافظة على سلامته وسلامة الآخرين.  / يُظهر رفضاً واضحاً لجميع أشكال العنف والإساءة، ويحترم كرامة الطفل وحقوقه ويدافع عنها في المواقف المناسبة. | يحدد معظم أشكال العنف ويبين بعضها بصورة عامة. / يميز بين معظم السلوكيات الآمنة وغير الآمنة مع حاجة إلى بعض التوجيه. / يُظهر احتراماً لحقوق الطفل ويرفض العنف في معظم المواقف الصفية والحياتية. | يذكر بعض أشكال العنف بصورة بسيطة أو غير مكتملة. / يحتاج إلى دعم لتمييز أشكال العنف المختلفة. /  يُظهر وعياً محدوداً بحقوق الطفل ورفض العنف ويحتاج إلى تعزيز هذه القيم.
مدنيات | حقوق الطفل والعيش الآمن والصحي | احترام حق ذوي الاحتياجات الخاصة في التعليم | التعبير عن حق الطفل ذي الاحتياج الخاص في التعليم. | يوضح حقوق الأطفال ذوي الاحتياجات الخاصة بدقة، ويبين أهمية حصولهم على فرص متكافئة في التعليم والمشاركة المجتمعية.  / يعبر بوضوح وثقة عن أفكاره الداعمة للدمج، ويقترح ممارسات إيجابية تعزز مشاركة الأطفال ذوي الاحتياجات الخاصة في المدرسة والمجتمع.  / يُظهر احتراماً وتقبلاً واضحين لجميع الأفراد دون تمييز، ويتعامل بإيجابية وتعاون مع الأطفال ذوي الاحتياجات الخاصة. | يوضح حق الأطفال ذوي الاحتياجات الخاصة في التعليم والمشاركة بصورة عامة. / يعبر عن أفكاره حول الدمج بصورة مناسبة مع حاجة إلى مزيد من التوضيح أو الأمثلة. /  يُظهر احتراماً وتقبلاً للآخرين في معظم المواقف الصفية والحياتية. | يذكر معلومات بسيطة حول حقوق الأطفال ذوي الاحتياجات الخاصة. /  يحتاج إلى دعم للتعبير عن أفكاره بصورة واضحة حول الدمج. / يُظهر تقبلاً محدوداً للآخرين ويحتاج إلى تعزيز قيم الاحترام والمساواة والدمج.
مدنيات | حقوق الطفل والعيش الآمن والصحي | إدراك أثر الاحتلال في حرمان الأطفال من حقوقهم. | تبيان أثر الاحتلال في انتهاك حق الأطفال في العيش الآمن. | يوضح بدقة أثر الاحتلال في انتهاك حقوق الأطفال، ويبين انعكاس ذلك على حقهم في الأمن والتعليم والصحة واللعب بأمثلة مناسبة.  / يربط بدقة بين المواقف الحياتية المختلفة وحقوق الطفل الأساسية، ويحدد الحق المرتبط بكل موقف بصورة صحيحة.  / يُظهر تعاطفاً واضحاً مع الأطفال المتضررين، ويعبر عن اعتزازه بحقوق الإنسان ورفضه لانتهاكها. | يوضح بعض آثار الاحتلال على حقوق الأطفال بصورة عامة. / يربط بين بعض المواقف الحياتية وحقوق الطفل مع حاجة إلى مزيد من التوضيح. /  يُظهر تعاطفاً واحتراماً لحقوق الإنسان في معظم المواقف الصفية والحياتية. | يذكر معلومات محدودة عن انتهاكات وأثر الاحتلال بحق الأطفال.  /  يحتاج إلى توجيه للربط بين المواقف والحقوق.  / يُظهر تعاطفاً محدوداً ويحتاج إلى تعزيز الوعي بحقوق الإنسان وقيم التضامن الإنساني.
