كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثالث الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء | القيم
 |  |  | يعمم الأنماط العددية المرتبطة بالضرب | يطبق قاعدة الضرب في مضاعفات الـ 10 والـ 100 | يكتشف قاعدة الضرب في (10، 100) ومضاعفاتهالإيجاد ناتج الضربذهنياً بسرعة | يجد ناتج الضرب في 10 و مضاعفاتهابوضع الأصفار يميناً ويطور فهمه للقاعدة المنطقية | يحاول الضرب في 10 فقط ويحتاج لمساعدة في بقية المضاعفات | 
 |  |  | يستخدم العلاقات بين حقائق الضرب لايجاد نواتج حقائق ضرب أخرى مرتبطة بها | يوظف حقائق ضرب معروفة لديه لاستنتاج نواتج حقائق ضرب أخرى مرتبطة بها باستخدام الاضافة أو النقصان الذهني | يستنتج نواتج حقائق ضرب جديدة بدقة واستقلالية من حقائق ضرب معروفة لديه مستخدما الاضافة أو النقصان الذهني دون الحاجة الى العد المتكرر مثل اذا عرف أن 5×6=30 فانه يستنتج مباشرة أن 6×6=36 | يستنتج بعض حقائق الضرب الجديدة من حقائق معروفة لديه مع الحاجة الى تلميحات أو دعم محدود من المعلم | يعتمد على العد المتكرر لايجاد نواتج الضرب ويحتاج الى توجيه للاستفادة من العلاقات بين حقائق الضرب المرتبطة | 
 | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف الحياتية المرتبطة بالضرب | يحدد المعطيات والمطلوب في مسائل لفظية مرتبطة بالضرب | يستخرج المعطيات والمطلوبفي مسألة لفظية تمهيدا لاختيار عملية الضرب المناسبة | يحلل المعلومات العددية لتحديد المعطيات والمطلوب بدقة تامةمفرقا بين المضروب فيه والمضروب | يعبر عن المسألة بأسلوبه ويحدد المعطيات ويطور قدرته في تحديد المطلوبفي المسائل التي تتضمن معلومات زائدة | يواجه صعوبة في تحديد المعطيات والمطلوب في مسألة لفظية | التفكير المنطقي، الدقة، اتخاذ القرار، تذوق الجمال الرياضي، تعزيز المواطنة الصالحة، تقدير قيمة العلم والعمل
 | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف الحياتية المرتبطة بالضرب | يحدد العملية المناسبة للحل | يختار عملية الضرب بناءً على فهم الموقف الحياتي | يختار عملية الضرب المناسبة لحل المسألة مبررا اختياره بالاستناد الى معطياتها والمطلوب فيها | يختار عملية الضرب المناسبة في معظم المسائل ويحتاج الى دعم محدود لتبرير اختياره او توضيح سبب استخدام الضرب | يواجه صعوبة في تمييز المواقف التي تتطلب استخدام الضرب ويحتاج الى توجيه لاختيار العملية المناسبة | 
 | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف الحياتية المرتبطة بالضرب | يعيد صياغة المسألة بلغته الخاصة | يعبر عن المسألة الحسابية بأسلوبه الشخصي بلغة رياضية دقيقة | يصيغ المسألة بلغة رياضية سليمة تعكس فهماً عميقاً للمحتوى | يصيغ المسألة بلغته الخاصة ومفردات عامية يطور قدرته في استخدام المصطلحات الرياضية لإعادة الصياغة | يحاول إعادة الصياغة ويحتاج لمساعدة المعلم في ترتيب الأفكار | 
 |  | اختيار استراتيجيات مناسبة للحل | يستخدم خط الأعداد كاستراتيجية لحل مسائل الضرب | يوظف خط الأعداد لتمثيل عملية الضرب باستخدام القفزات المتساوية لايجاد النواتج | يستخدم خط الأعداد بمهارة لتمثيل الضرب بالقفزات المتساوية محددا الناتج بشكل صحيح دون أخطاء | يستخدم خط الاعداد بشكل صحيح في معظم الأحيان لكنه قد يحتاج الى دعم في تحديد عدد القفزات أو قيمة القفزة | يواجه صعوبة في استخدام خط الاعداد ويحتاج الى توجيه مباشر لتمثيل الضرب بالقفزات المتساوية | المثابرة والاجتهاد، اتخاذ القرار، الدقة، حب العلم ، تقدير المعرفة، التفكير المنظم، روح التنافس الايجابي،تعزيز المواطنة الصالحة والانتماء للوطن، تحمل المسؤولية، التعاون
 |  | اختيار استراتيجيات مناسبة للحل | يستخدم النماذج أو الرسوم لتمثيل مسائل الضرب وحلها | يمثل عمليات الضرب باستخدام الرسوم او النماذج (مجموعات متساوية)لايجاد النواتج | يمثل مسائل الضرب باستخدام نماذج او رسوم بشكل صحيح ومنظم (مجموعات متساوية) وصولا للناتج بدقة | يمثل مسائل الضرب باستحدام نماذج أو رسوم بشكل صحيح في معظم الاحيان وقد يحتاج الى دعم بسيط في تنظيم المجموعات أو عدها | يواجه صعوبة في تمثيل الضرب باستخدام الرسوم أو النماذج ويحتاج الى توجيه مباشر لتكوين مجموعات متساوية وربطها بالعملية | 
 |  |  | يحل مسائل الضرب باستخدام أكثر من طريقة | يحل مسألة الضرب بطرق متنوعة(ذهنيا، كتابيا، أو باستخدام النماذج)للوصول الى الناتج | يحل مسألة الضرب بطرق متنوعة (ذهنيا وكتابيا أو باستخدام النماذج) بشكل دقيق | يحل مسألة الضرب بأكثر من طريقة لكنه قد يخطىء في احدى الطرق أو يحتاج الى توجيه لاختيار الطريقة الثانية | يعتمد غالبا على طريقة واحدة فقط (عادة العد أو الطريقة التقليدية) ويحتاج لدعم لاستخدام طرق أخرى لحل مسألة الضرب | 
 |  | مراجعة الحل والتحقق منه | يتحقق من معقولية صحة ناتج الضرب باستخدام الجمع المتكرر أو التمثيل البصري | يتحقق من صحة ناتج الضرب باعادة بنائه باستخدام الجمع المتكرر أو النماذج البصرية(مجموعات متساوية) في مواقف متنوعة | يتحقق من صحة ناتجه النهائي بدقة مستخدماً الجمع المتكرر أو التمثيل كطريقة بديلة للحل مبرراصحة إجابته بدقة واستقلالية | يتحقق من صحة ناتجه النهائي مستخدماً طريقة واحدة الجمع المتكرر أو التمثيل مع توجيه من المعلم. | يواجه صعوبة في التحقق من صحة ناتج الضرب ويحتاج إلى توجيه مستمر لاستخدام الجمع المتكرر أو التمثيل | التعاون، احترام آراء الآخرين، الأمانة العلمية، تنمية تقدير الذات، التفكير الناقد، المشاركة الإيجابية، المسؤولية،تنظيم العمل،الوعي البيئي والمحافظة على الموارد
 |  | مراجعة الحل والتحقق منه | يراجع خطوات حل / مسائل الضرب | يراجع خطوات حل مسائل الضرب للتأكد من صحة الإجراءات المتبعة | يراجع جميع خطوات حل الضرب بشكل متسلسل لضمان خلوها من الأخطاء وبشكل مستقل. | يراجع خطوات الحل بشكل سطحي محاولا تتبعها لمعرفة أين أخطأ ويجد صعوبة في تصحيح مساره | لا يراجع خطوات الحل ويحتاج توجيها مستمرا من المعلم لتصحيح الأخطاء | 
 |  | مراجعة الحل والتحقق منه | يفسر الناتج في ضوء المسألة | يفسر الناتج النهائي في سياق المسألة المعطاة لمسائل الضرب | يفسّر الناتج العددي النهائي بسياق المسألة، معبرا عنه بتمييز صحيح وبوعي تام | يفسر الناتج كعدد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة وقد يكون المميز أو الناتج غير دقيق. | يكتب ناتجاً نهائياً دون أي تفسير لما يمثله هذا الناتج في الواقع أو في المسألة المطروحة. | 
 |  | مراجعة الحل والتحقق منه |  |  |  |  |  | 
القسمة | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية(القسمة) | يفسر عملية القسمة كتوزيع متساوٍ | يمثل عملية القسمة كتوزيع متساوِ باستخدام المحسوسات لتكوين مجموعات متساوية | يفسر القسمة كتوزيع متساو ويمثلها باستخدام المحسوسات لتكوين مجموعات متساوية بدقة واستقلالية دون أخطاء | يفسر القسمة كتوزيع متساو ويمثلها باستخدام المحسوسات لتكوين مجموعات متساوية في معظم الحالات لكنه يخطىء احيانا في التوزيع أو العد | يواجه صعوبه في تفسير القسمة كتوزيع متساو ويحتاج الى دعم مباشر لتمثيلها باستخدام المحسوسات وتكوين مجموعات متساوية وغالبا لا يصل الى توزيع متساو بشكل دقيق | الترتيب والنظام،الدقة،، حب الاستكشاف، المرونة الذهنية، تقدير العلم والمعرفة، المثابرة، تنمية الثقة بالنفس، التفكير المنطقي
القسمة | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية(القسمة) | يفسرالقسمة كطرح متكرر | يمثل عملية القسمة بطرح متكرر حتى الوصول الى الصفر ويربط عدد مرات الطرح بناتج القسمة | يحوّل جملة القسمة إلى طرح متكرر بشكل صحيح حتى الوصول الى الصفر ويربط بدقة عدد مرات الطرح بناتج القسمة دون أخطاء | ينفذ الطرح المتكرر بشكل صحيح في معظم الخطوات لكنه قد يخطىء أحيانا في الحساب أو يحتاج الى توجيه بسيط في ربط عدد مرات الطرح بناتج القسمة | يبدأ باستخدام الطرح المتكرر لكنه يطرح مرة واحدة أو عدة مرات دون الاستمرار حتى الوصول الى الصفر ويواجه صعوبة في فهم العلاقة بين الطرح المتكرر وناتج القسمة | 
القسمة | ممارسة التفكير الكمي والتجريدي | تفسير معنى العمليات العددية(القسمة) | يفسر القسمة بوصفها تجميعاً | يحدد عدد المجموعات الناتجة عن تجميع العناصر المتشابهة في فئات متساوية | يفسر القسمة كعملية تجميع متكافئ (قسمة قياسية) محدداً عدد المجموعات الناتجة بطلاقة | يمثل التجميع باستخدام الطرح المتكرر ويطور أداءه على تحديد عدد المجموعات الناتجة عن التجميع بالتساوي | يحاول تجميع العناصر ويحتاج لمساعدة في تحديد عدد المجموعات | 
القسمة | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات المختلفة | يمثل القسمة بالنماذج | يمثل القسمة باستخام المحسوسات لتكوين مجموعات متساوية ويمثلها بنموذج واضح للمسألة | يمثل القسمة باستخدام المحسوسات لتكوين مجموعات متساوية بدقة واستقلالية ويكوّن نموذجا صحيحا للمسالة دون أحطاء | يمثل القسمة باستخدام المحسوسات لتكوين مجموعات متساوية في معظم الحالات مع حاجة الى توجيه بسيط لبناء النموذج أو تنظيمه | يمثل القسمة باستخدام المحسوسات مع صعوبة في تكوين مجموعات متساوية أو بناء نموذج صحيح للقسمة ويحتاج لدعم مباشر | التفكير التكاملي والتحليلي، المرونة الذهنية، الدقة،حب التحدي،الاستمتاع بالتعلم، حب الاستطلاع،الاعتزاز بالوطن، المواطنة الصالحة
القسمة | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات المختلفة | يستخدم الرسوم في تفسير عملية القسمة | يرسم تمثيلات توضح توزيع العناصر بالتساوي في عملية القسمة | يرسم تمثيلات توضح توزيع العناصر بالتساوي مفسرا عملية القسمة بدقة | يرسم تمثيلات توضح القسمة بشكل صحيح في معظم الحالات مع حاجة الى توجيه بسيط لتوضيح التوزيع المتساوي | يرسم تمثيلاتبسيطة لا توضح القسمة بشكل كامل ويحتاج لدعم مستمر لتوضيح التوزيع المتساوي | 
القسمة | ممارسة التفكير الكمي والتجريدي | الانتقال بين التمثيلات المختلفة | يربط بين التمثيل الرمزي والمحسوس | يربط بين التمثيل بالمحسوس وجملة القسمة الرمزية | يربط بكفاءة بين الأعداد المكتوبة (رموز) وبين التوزيع المحسوس للعناصر الحقيقية | يكتب جملة القسمة الرمزية بشكل صحيح، ولكنه يواجه صعوبة عند تطبيقها على التمثيل المحسوس. | يكتب جملة قسمة لا تتوافق مع عدد العناصر المحسوسة ويواجه صعوبة في مطابقتها مع التمثيل المحسوس | 
القسمة | ممارسة البحث عن البنية الرياضية | تفسير العلاقات بين عمليتي الضرب والقسمة | يميز العلاقة بين القسمة والضرب | يدرك أن القسمة عملية عكسية للضرب | يميز العلاقة العكسية بين الضرب والقسمة ويحددها في جمل عددية بدقة | يلاحظ العلاقة بين الضرب والقسمة عند عرض الامثلة لكنه لا يستنتجها بشكل مستقل دائما | لا يميز العلاقة بين الضرب والقسمة ويحتاج الى دعم مباشر لفهمها | الدقة ،حب الاستكشاف، التفكير المنطقي،التأمل الرياضي،المرونة الذهنية، تنظيم الذات، الثقة بالنفس والمثابرة
القسمة | ممارسة البحث عن البنية الرياضية | تفسير العلاقات بين عمليتي الضرب والقسمة | يربط بين القسمة والضرب | يكتب جملة القسمة المقابلة لجملة الضرب المعطاة | يوظف العلاقة العكسية بين عمليتي الضرب والقسمة في كتابة جملتي قسمة من كل حقيقة ضرب معطاة بدقة | يدرك وجود علاقة ويكتب حقيقة قسمة واحدة من حقيقة ضرب معطاة ويحتاج لدعم في كتابة جميع حقائق القسمةالمترابطةبكل حقيقة ضرب | يحاول فهم العلاقة بين الضرب والقسمة ويحتاج لتوجيه مباشر لربط حقيقة الضرب بحقيقة القسمة المقابلة لها وكتابتها | 
القسمة | ممارسة البحث عن البنية الرياضية | توظيف العلاقات العددية في تفسير القسمة | يستخدم حقائق الضرب في القسمة | يعتمد على حقائقالضرب لإيجاد نواتج القسمة | يستخدم حقائق الضرب بسرعة ودقة لإيجاد نواتج القسمة ذهنياً | يجد ناتج القسمة بالبحث في جدول الضرب بمساعدة المعلم | يحاول تذكر حقائق الضرب البسيطة لإيجاد ناتج قسمة أعداد صغيرة | حب الاستطلاع والتفكير الاستدلالي،الدقة،المثابرة، التعاون، احترام آراء الآخرين، تنمية الثقة بالنفس، التواصل الايجابي
القسمة | ممارسة البحث عن البنية الرياضية | توظيف العلاقات العددية في تفسير القسمة | يستخدم العلاقات العددية في إيجاد ناتج القسمة | يوظف العد القفزي للوصول الى ناتج القسمة | يستخدم العد القفزي بمرونة ودقة لايجاد ناتج القسمة ذهنيا | يستخدم العد القفزي (2،5،10) بمساعدة المعلم للوصول الى ناتج القسمة ويحتاج الى دعم في استخدامه مع الاعداد الاخرى | يحاول استخدام الجمع المتكرر البسيط للوصول الى ناتج القسمة ويحتاج الى توجيه مباشر لاستخدام العد القفزي | 
القسمة | ممارسة البحث عن البنية الرياضية | توظيف العلاقات العددية في تفسير القسمة | يفسر الباقي في مسائل القسمة | يدرك معنى العناصر المتبقية التي لا تكمل مجموعة كاملة | يفسر معنى الباقي في سياق المسألة الحياتية وكيفية التعامل معه | يحدد وجود باقٍ ويطور فهمه لسبب عدم إضافته للمجموعات | يحاول توزيع الكل ويواجه صعوبة في فهم بقاء عناصر زائدة | 
القسمة | ممارسة التعميم من التكرار | اكتشاف الأنماط المرتبطة بالقسمة | يكتشف الأنماط العددية في القسمة | يستنتجنمط قسمة العشرات الكاملة على العدد 10لايجاد ناتج القسمة | يستنتج نمط القسمة على 10(مثل حذف الأصفار) ويوظفها ذهنياً بدقة لايجاد ناتج القسمة | يطبق نمط القسمة على 10(حذف الصفر)في مسائل معطاة بمساعدة المعلم | يحاول القسمة على 10 بالعد القفزيويحتاج لتوجيه مباشر لاكتشاف النمط | التفكير الناقد والأمانة العلمية ، حب الاستكشاف، التأمل الرياضي، الدقة، التواصل الايجابي، تنظيم الذات، روح الفضول العلمي
القسمة | ممارسة التعميم من التكرار | اكتشاف الأنماط المرتبطة بالقسمة | يربط بين نواتج القسمة والعلاقات العددية المرتبطة بها | يلاحظ العلاقة بين نواتج القسمة ضمن نمط القسمة على 10 | يفسر العلاقة المنطقية بين نواتج القسمة ويستخدمها في التقدير الذهني | يلاحظ العلاقة بين نواتج القسمة ويحتاج لمساعدة في تعميمها على مسائل أخرى مشابهة | يستخدم التمثيلالبصري (لوحة المئة) لفهم العلاقة بين نواتج القسمة ويحتاج الى توجيه مباشر | 
القسمة | ممارسة التعميم من التكرار | اكتشاف الأنماط المرتبطة بالقسمة | يوظف الأنماط العددية في تبسيط عمليات القسمة | يستخدم الأنماط العددية لتسهيلايجاد ناتج القسمة | يوظف الأنماط العددية بذكاء لتسهيل عمليات القسمة وايجاد نواتجها ذهنيا | يطبق نمطاً واحداً معلوماً تدرب عليه ويطور قدرته في اكتشاف أنماط جديدة | يحاول الحل التقليدي(العد أو الطرح المتكرر) ولا يدرك وجود أنماط عدديةمساعدة | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يحدد المعطيات والمطلوبفي مسائل لفظية مرتبطة بالقسمة | يستخرج المعطيات والمطلوبفي مسألة لفظية تمهيدا لاختيار عملية القسمة المناسبة | يحلل المعلومات العددية لتحديد المعطيات والمطلوب بدقة تامةمفرقا بين المقسوم والمقسوم عليه | يعبر عن المسألة بأسلوبه محددا المعطيات ويطور قدرته في تحديد المطلوب في المسائل التي تتضمن معلومات زائدة | يحتاج الى توجيه مباشر لتحديد المعطيات والمطلوب في المسألة اللفظية | تقدير قيمة العمل ، تحمل المسؤولية، تنمية الثقة بالنفس، التواصل الايجابي، التعاون، احترام آراء الآخرين،التفكير الناقد، تنظيم العمل، المثابرة، اتخاذ القرار، الدقة، الوعي بالموارد الوطنية والانتماء للوطن،حب العلم والمعرفة، الأمانة العلمية، الصدق في العمل0
القسمة | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يحدد العملية المناسبة للموقف | يميز مواقف التوزيع بالتساوي التي تتطلب القسمة | يحلل المواقف الحياتية بدقة ويبرر استخدام القسمة للحل | يحدد العملية ويحتاج لمساعدة في فهم الكلمات المفتاحية للمسألة | يحاول اختيار عملية ويخلط بين القسمة والطرح غالباً | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | تحليل المواقف المرتبطة بالقسمة | يعيد صياغة المسألة بلغته الخاصة | يعبر عن المسألة الحسابية بأسلوبه الشخصي بلغة رياضية دقيقة | يصيغ المسألة بلغة رياضية سليمة تعكس فهمه للموقف الرياضي بدقةً | يصيغ المسألة بلغته الخاصة ومفردات عامية مطورا قدرته في استخدام المصطلحات الرياضية لإعادة الصياغة | يحاول إعادة الصياغة ويحتاج لمساعدة المعلم في ترتيب وتنظيم الأفكار | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة لحل مسائل القسمة | يستخدم خط الأعداد كاستراتيجية لحل مسائل القسمة | يوظف خط الأعداد لتمثيل عملية القسمة باستخدام القفزات المتساوية لايجادناتج القسمة | يستخدم خط الأعداد بمهارة لتمثيل عملية القسمة بالقفزات المتساوية محددا الناتج بدقة | يستخدم خط الاعداد بشكل صحيح في معظم الأحيان لكنه قد يحتاج الى دعم في تحديد عدد القفزات أو قيمة القفزة | يواجه صعوبة في استخدام خط الاعداد ويحتاج الى توجيه مباشر لتمثيل القسمة بالقفزات المتساوية | التفكير المنطقي وحل المشكلات، اتخاذ القرار، الدقة والمثابرة، الابداع، احترام آراء الآخرين، تحمل المسؤولية، حب الاستكشاف ، الأمانة العلمية، الانصاف والتوزيع بالتساوي،تعزيز حب الوطن والانتماء،المواطنة الصالحة، الوعي بالممتلكات العامة
القسمة | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة لحل مسائل القسمة | يمثل المسألة برسوم أو جداول | يمثل موقف القسمة بالرسم التوضيحي أو الجداول البسيطة | يبتكر تمثيلات بصرية دقيقة تعكس خطوات التوزيع في تمثيل عملية القسمة والنتائج | يطور قدرته في تمثيل القسمة بالرسم ويحتاج لمساعدة في التنظيم | يحاول الرسم العشوائي ويحتاج لمساعدة في ربط الرسم بالناتج | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | اختيار استراتيجيات مناسبة لحل مسائل القسمة | يختار استراتيجية مناسبة لحل مسائل القسمة | يحدد الاستراتيجية المناسبة لحل مسألة القسمة من بين استرتيجيات متعددة | يختار الاستراتيجية الأنسب لحل مسألة القسمة مبررا اختياره بصورة صحيحة | يختار استراتيجية مناسبة لحل مسألة القسمة ويحتاج الى دعم في تبرير اختياره | يحتاج الى توجيه لاختيار استراتيجية مناسبة لحل مسألة القسمة من بين الاسترتيجيات المتاحة | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يتحقق من معقولية الناتج | يستخدم الضرب لفحص صحة ناتج القسمة | يتحقق من صحة ناتج القسمة باستخدام حقائق الضرب مفسرا معقولية الجواب بصورة صحيحة | يتحقق من صحة ناتج القسمة باستخدام الضرب ويحتاج لمساعدة في ربط الناتجين | يحاول التأكد من الحل بإعادة عملية التوزيع بالمحسوسات | التفكير الناقد، الدقة ، المثابرة، تحمل المسؤولية، الثقة بالنفس، الأمانة العلمية، حب الانجاز، تقدير قيمة العمل والعلم، العناية بالموارد البيئية
القسمة | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يراجع خطوات حل / مسائل القسمة | يراجع خطوات حل مسائل القسمة للتأكد من صحة الإجراءات المتبعة | يراجع جميع خطوات حل القسمة بشكل متسلسل لضمان خلوها من الأخطاء وبشكل مستقل. | يراجع خطوات الحل بشكل سطحي محاولا تتبعها لمعرفة أين أخطأ ويجد صعوبة في تصحيح مساره | لا يراجع خطوات الحل ويحتاج توجيها مستمرا من المعلم لتصحيح الأخطاء | 
القسمة | ممارسة فهم المسألة والمثابرة في حلها | مراجعة الحل والتحقق منه | يفسر الناتج في ضوء المسألة | يفسر الناتج النهائي في سياق المسألة المعطاة فيالقسمة | يفسر الناتج العددي النهائي بسياق المسألة، معبرا عنه بتمييز صحيح وبوعي تام | يفسّر الناتج كعدّد مجرد، ويحتاج لتوجيه ليربطه بسياق المسألة وقد يكون المميز أو الناتج غير دقيق. | يكتب ناتجاً نهائياً دون أي تفسير لما يمثله هذا الناتج في الواقع أو في المسألة المطروحة. | 
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يفسر الكسر بوصفه جزءاً من كل. | يفسر معنى الكسر بوصفه جزءاً من كل | يحدد الكسر الممثل لجزء مظلل أو محسوس ويبرر إجابته بدقة | يحدد الكسر الممثل لمعظم النماذج البصرية بصورة صحيحة | يحدد الكسر في نماذج بسيطة جداً بمساعدة | التفكير المنطقي، التفكير التحليلي، الدقة، التأمل الرياضي، حب الاستكشاف، المرونة، الانصاف ، التعاون، احترام الآخرين، الثقة بالنفس، المثابرة
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يحدد البسط والمقام في الكسر | يحدد البسط والمقام في أي كسر معطى | يحدد البسط والمقام في أي كسر معطى بدقة وبطلاقة. | يحدد البسط والمقام في معظم الكسورالمعطاة. | يميز البسط أو المقام في الكسور البسيطة بمساعدة المعلم | 
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يقرأ الكسور العادية بطرق مختلفة. | يقرأ الكسور العادية | يقرأ الكسور العادية بدقة وطلاقة. | يقرأ معظم الكسور العادية بصورة صحيحة. | يقرأ بعض الكسور البسيطة المألوفة بمساعدة مباشرة. | 
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يكتب الكسور العادية. | يكتب الكسور العادية. | يكتب الكسور العادية بدقة. | يكتب معظم الكسور العادية بصورة صحيحة. | يحاول كتابة بعض الكسور العادية | 
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يقارن بينكسرين عاديين ويرتبها. | يقارن كسوراً عادية مقاماتها متجانسة ويتخذ قرارا في ترتيبها تصاعديا أو تنازليا بشكل مجرد. | يقارن كسوراً عادية مقاماتها متجانسة بدقة وبطلاقة، لترتيبها تصاعديًا أوتنازليًابشكل مجرد. | يقارن الكسور ذات المقامات المتجانسة باستخدام لوحة الكسور أو النماذج البصريةويطور أداؤه في ترتيبها تصاعديا أو تنازليا | يحدد الكسر الأكبر أو الأصغر بين كسرين بسيطين باستخدام المحسوسات وتوجيه المعلم.ولا يمكنه ترتيب الكسور بشكل تصاعدي أو تنازلي | 
الكسور | ممارسة التفكير الكمي والتجريدي | تفسير معنى الكسر والعلاقات الكسرية | يقارن بينكسرين عاديين ويرتبها. | يقارن كسوراً عادية مقاماتها غير متجانسة بصريا. | يقارن كسوراً عادية مقاماتها غير متجانسة بصريا بدقة وبطلاقة | يقارن الكسور ذات المقامات غير المتجانسة باستخدام لوحة الكسور أو النماذج البصرية. | يحدد الكسر الأكبر أو الأصغر بين كسرين بسيطين باستخدام المحسوسات وتوجيه المعلم. | 
الكسور | ممارسة التفكير الكمي والتجريدي | الانتقال بين تمثيلات الكسور المختلفة | يمثل الكسور بصرياً | يمثل الكسور العادية بصرياً باستخدام أشكال هندسية ورسومات متنوعة. | يمثل الكسور بصرياً برسم الأشكال وتظليل الأجزاء المناسبة لكسور معطاة بشكل صحيح. | يمثل الكسور بصرياً بصورة صحيحة بتظليل أجزاء من نماذج ورسومات جاهزة. ويحتاج لمساعدة في تمثيل الكسور بالرسم. | يلوّن أجزاءً من أشكال مقسمة مسبقا بمساعدة. | تذوّق الجمال والتناسق والنظام والترتيب ، والتأمّل في إبداع الخالق، التعاون، احترام آراء الآخرين، الثقة بالنفس، التفكير البصري،المرونة الذهنية، الدقة،حب الاستكشاف، المثابرة
الكسور | ممارسة التفكير الكمي والتجريدي | الانتقال بين تمثيلات الكسور المختلفة | يمثل الكسور على خط الأعداد | يحدد موقع الكسور العادية ويمثلها على خط الأعداد بشكل مجرد. | يحدد موقع الكسور العادية ويمثلها على خط الأعداد بدقة واستقلالية. | يمثل معظم الكسور على خط أعداد مقسم مسبقًا بصورة صحيحة. | يحدد موقع كسور بسيطة مثل النصف والربع على خط أعداد جاهز بمساعدة. | 
الكسور | ممارسة التفكير الكمي والتجريدي | الانتقال بين تمثيلات الكسور المختلفة | يربط بين التمثيل الرمزي والبصري واللفظي. | يربط بين التمثيل الرمزي (الكسر بالأرقام) والبصري (الرسوم والمحسوسات) واللفظي | يربط بين رمز الكسر وتمثيله البصري واللفظي بشكل سليم مع التبرير. | يطابق بين معظم التمثيلات المختلفة للكسر بشكل صحيح. / ينتج كسرين مكافئين بالضرب لكنه يجد صعوبة في كتابتها بأبسط صورة | يطابق بين بعض الكسورالبسيطة ورسوماتها بمساعدة. | 
الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يحدد الكسور المتكافئة | يحدد الكسور المتكافئة باستخدام النماذج البصرية ولوحة الكسور. | يحدد جميعا لكسور المتكافئة لكسر معطى مستعيناً بالنماذج أو بصورة مجردة بدقة. | يحدد كسرين متكافئين باستخدام لوحة الكسور أو النماذج البصرية. | يتعرف إلى بعض الكسور المتكافئة البسيطة جداً (مثل النصف والربعين) ولا يمكنه تحديد غيرها. | الدقة والنظام ، التفكير الاستدلالي، المرونة الذهنية، المثابرة، الثقة بالنفس، التعاون، احترام آراء الآخرين، حب الاستكشاف، التأمل الرياضي، تذوق الجمال الرياضي
الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يفسر العلاقة بين البسط والمقام | يفسر دور البسط والمقام في تمثيل الكسر العادي ويشرح العلاقة بينهما | يفسر العلاقة بين البسط والمقام لكسور مختلفة، ويشرح موضحا دور كل منهما في تحديد قيمة الكسرمع التبرير | يحدد العلاقة بين البسط والمقام مستعيناً بالرسوم، ويحاول صياغة العلاقة لفظياً. | يذكر اسمي البسط والمقام في الكسر ولا يمكنه تفسير العلاقة بينهما. | 
الكسور | ممارسة البحث عن البنية الرياضية | اكتشاف العلاقات بين الكسور | يكتشف العلاقة بين الكسور والأعداد الطبيعية ويربط بين صورها | يكتشف العلاقة بين الكسور العادية التي يتساوى بسطها مع مقامها والأعداد الطبيعية (كتمثيل الواحد الصحيح ومضاعفاته) | يربط الكسور التي يتساوى بسطها ومقامها بالعدد (1) ويطور مهارته في الربط بالأعداد الأخرى. | يربط الكسور التي يتساوى بسطها مع مقامها بالعدد (1) مستعيناً بمحسوسات كاملة، ويحاول تمثيلها رمزياً. | يميز أن الشكل الكامل يمثل واحداً صحيحاً ولا يمكنه ربطه بالتمثيل الكسري الرمزي. | 
