كفايات اللغة العربية ومعاييرها للصفوف 1-4
1447هـ/ 2026م
الصف الثاني
[TABLE 1]
المجال | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | تطبيق مهارات التحليل والاستنتاج لفهم أعمق للنص. | تحليل النص واستنتاج معانيه الضمنية | يحلل النص ويستنتج معانيه بدقة ووعي. | يحلل النص تحليلاً جزئياً. | يحتاج إلى دعم في التحليل والاستنتاج.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | قراءة الكلمات التي تتضمن الظواهر اللغوية الآتية قراءة صحيحة: أل الشمسية وأل القمرية. / النون والتنوين، مع التعرف على أنواع التنوين (رفع، نصب، جر). / التاء المربوطة والتاء المفتوحة، والفرق بين التاء المربوطة والهاء. / الحروف التي تُلفظ ولا تُكتب في بعض الكلمات مثل (هذا، هذه، ذلك، هؤلاء، لكن). / الهمزة المتطرفة التي تأتي بعد حرف المد بالألف. | قراءة الظواهر اللغوية قراءة سليمة | يقرأ الكلمات التي تتضمن الظواهر اللغوية قراءة صحيحة. | يقرأ معظم الكلمات قراءة صحيحة. | يخطئ في قراءة الكلمات ذات الظواهر اللغوية.
القراءة | قراءة نصوص قراءة جهرية سليمة، وفهمها. | مراعاة قواعد الفصل والوصل أثناء القراءة. | الالتزام بقواعد الوصل والفصل في القراءة الجهرية | يلتزم بقواعد الوصل والفصل التزاماً دقيقاً. | يلتزم بها جزئياً. | لا يلتزم بقواعد الوصل والفصل.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | التحليل الصوتي: تفكيك الكلمات إلى مقاطع وأصوات، مع ملاحظة الفروق بينها بدقة. | تحليل البنية الصوتية للكلمات تحليلاً دقيقاً | يفكك الكلمات تفكيكاً صوتياً دقيقاً ويحللها تحليلاً واعياً. | يفكك الكلمات تفكيكاً جزئياً مع ملاحظة بعض الفروق. | يفكك الكلمات تفكيكاً محدوداً ويخطئ في التمييز بين الأصوات.
القراءة | الوعي الصوتي، وتمييز الحروف والمقاطع. | الوعي اللغوي المبكر بما يسهم في تعزيز مهارات القراءة مستقبلاً. | إدراك العلاقات الصوتية والدلالية في اللغة | يظهر وعياً لغوياً مبكراً ومتماسكاً يسهم في دعم القراءة. | يظهر وعياً لغوياً جزئياً مع بعض المؤشرات الإيجابية. | يظهر وعياً لغوياً محدوداً ويحتاج إلى دعم مستمر.
القراءة | تذوق النص المقروء. | تنمية الذوق الأدبي وتعزيز تقدير النصوص الأدبية. | تقدير الجماليات اللغوية في النصوص الأدبية | يظهر ذوقاً أدبياً متقدماً ويقدّر النصوص تقديراً واعياً. | يظهر ذوقاً أدبياً جزئياً مع تفاعل محدود مع النصوص. | يظهر ذوقاً أدبياً ضعيفاً ويحتاج إلى توجيه دائم.
القراءة | تذوق النص المقروء. | فهم الجوانب الجمالية والفنية في النصوص المختلفة. | إدراك الجماليات الفنية في النصوص وتحليلها | يفهم الجوانب الجمالية والفنية فهماً عميقاً ويحللها بدقة. | يفهم الجوانب الجمالية فهماً جزئياً مع بعض التوضيح. | يحتاج إلى دعم في فهم الجوانب الجمالية والفنية.
القراءة | تذوق النص المقروء. | القدرة على التفاعل الوجداني مع محتوى النص وتأثيره. | التفاعل الوجداني مع مضامين النصوص وتأثيرها | يتفاعل وجدانياً مع النصوص تفاعلاً واضحاً وواعياً. | يتفاعل وجدانياً مع النصوص بصورة جزئية. | تفاعله الوجداني مع النصوص محدود أو ضعيف.
القراءة | تذوق النص المقروء. | التعبير عن الرأي تجاه سلوكيات أو مواقف الشخصيات الواردة في النصوص مثل القصص أو الأناشيد. | إبداء الرأي في سلوك الشخصيات ومواقفها في النص | يعبر عن رأيه في سلوك الشخصيات تعبيراً واضحاً ومبرراً. | يعبر عن رأيه بصورة جزئية دون تبرير كافٍ. | يحتاج إلى دعم في التعبير عن الرأي تجاه سلوك الشخصيات.
القراءة | تذوق النص المقروء. | تقييم أعماله وأعمال زملائه ضمن إطار العمل الجماعي بطريقة بنّاءة. | تقييم الأداء الذاتي وأداء الآخرين في العمل الجماعي | يقيم الأعمال تقييماً بنّاءً وموضوعياً. | يقيم الأعمال تقييماً جزئياً مع بعض الملاحظات. | يحتاج إلى دعم في تقييم الأعمال بطريقة بنّاءة.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | التركيز والتنظيم الذاتي، مع الالتزام بالدقة، والنظافة، والانضباط في الكتابة. | تنظيم الكتابة وفق معايير الدقة والنظافة | ينظم الكتابة تنظيماً دقيقاً ويظهر التزاماً واضحاً بالنظافة والانضباط. | ينظم الكتابة تنظيماً جزئياً مع تباين في الدقة. | تظهر عليه فوضى في تنظيم الكتابة.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | نسخ نصّ قصير يتراوح طوله بين سطرين إلى ثلاثة، مع مراعاة سرعة مناسبة. | نقل نص مكتوب مع الحفاظ على شكله ومضمونه | ينسخ النص نسخاً دقيقاً وبسرعة مناسبة. | ينسخ النص مع بعض الأخطاء، أو البطء. | ينسخ النص مع أخطاء واضحة.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | كتابة كلمات تحتوي على ظواهر بصرية، مثل: هذا، هذه، الذي، التي، هذين، الذين، وغيرها. | توظيف الظواهر البصرية في الكتابة توظيفاً صحيحاً | يكتب الكلمات كتابةً صحيحةً. | يكتب معظم الكلمات كتابةً صحيحةً. | يخطئ في كتابة الكلمات المستهدفة.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | تحليل الجمل إلى كلمات منفصلة. | تفكيك الجملة إلى كلمات تفكيكاً صحيحاً | يحلل الجملة تحليلاً دقيقاً إلى كلمات. | يحلل معظم الجمل تحليلاً جزئياً. | يخطئ في تحليل الجمل.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | تطبيق خطوات الإملاء المنقول والمنظور بدقة (في حدود سطرين). | تنفيذ خطوات الإملاء تنفيذاً متسلسلاً ودقيقاً | يطبق خطوات الإملاء تطبيقاً صحيحاً. | يطبق معظم الخطوات مع بعض الأخطاء. | يخلّ بتسلسل الخطوات.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | كتابة الحروف الهجائية بخط النسخ كتابة واضحة ومرتبة، مع مراعاة شكل الحرف حسب موقعه في الكلمة وعلى السطر. | كتابة الحروف بخط النسخ كتابةً واضحةً | يكتب الحروف بخط واضح ومتقن. | يكتب الحروف كتابةً مقبولةً مع تفاوت في الوضوح. | يكتب الحروف كتابةً غير واضحة.
الكتابة | مراعاة ضوابط الكتابة العربية والإملاء والعادات السليمة المصاحبة للكتابة. | نسخ كلمات أو جمل قصيرة (5 إلى 7 كلمات أو جملتين) بخط النسخ، مع الاهتمام بجمال الخط والمسافات بين الكلمات. | نسخ نص قصير بخط النسخ نسخاً منسقاً | ينسخ الكلمات والجمل بدقة وتناسق. | ينسخ مع بعض الاضطراب في التناسق. | ينسخ بصورة غير منظمة.
الكتابة | كتابة كلمات وجمل من (5) كلمات إملاء منقولاً ومنظوراً. | كتابة كلمات وجمل وفقرات في حدود 20 كلمة إملاء منظوراً. / القضايا الإملائية الواردة: ال الشمسية وال القمرية، والنون والتنوين، والتاء المربوطة والهاء، وهمزة الوصل وهمزة القطع، والألف اللينة في نهاية الأسماء والأفعال، وعلامات الترقيم الأساسية، مثل الفاصلة، والنقطة، وعلامة الاستفهام، وعلامة التعجب، وتمييز الحروف المشددة من غير المشددة في الكلمات. | كتابة نص إملائي قصير إملاء منقولاً | يكتب القضايا الإملائية الواردة كتابةً صحيحةً. | يكتب القضايا الإملائية الواردة مع بعض الأخطاء. | يكتب القضايا الإملائية الواردة مع أخطاء كثيرة.
الكتابة | تنظيم محتوى الكتابة. | كتابة عدد من الكلمات أو الجمل (من 4 إلى 5 كلمات) تعبر عن صور أو مشاهد من قصة، وترتيبها منطقياً ومترابطاً. | تنظيم الجمل وفق تسلسل منطقي للأحداث | يرتب الجمل ترتيباً صحيحاً ومتسلسلاً. | يرتب معظم الجمل ترتيباً جزئياً. | يخطئ في ترتيب الجمل.
الكتابة | تنظيم محتوى الكتابة. | تركيب جمل قصيرة من مخزونه اللغوي، ومن الأنماط التي تعلمها (4 إلى 5 جمل). | بناء جمل مترابطة من رصيده اللّغوي | يبني جملاً مترابطة وواضحة. | يبني جملاً جزئية الترابط. | يبني جملاً غير مترابطة.
الكتابة | تنظيم محتوى الكتابة. | كتابة فقرة قصيرة من ستّ جمل تدور حول فكرة أساسية واحدة ترتبط بالموضوع المطروح. | إنتاج فقرة مترابطة حول فكرة واحدة | يكتب فقرة مترابطة وواضحة. | يكتب فقرة جزئية الترابط. | يكتب فقرة غير مترابطة.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | كتابة وصف بسيط عن نفسه بعبارتين إلى ثلاث، باستخدام خط جميل وواضح. | التعبير عن الذات كتابةً | يكتب وصفاً ذاتياً واضحاً ومترابطاً. | يكتب وصفاً جزئياً بسيطاً. | يكتب وصفاً غير مكتمل.
الكتابة | توظيف أنماط مختلفة من التعبير الكتابي. | تنظيم ثلاث جمل مبعثرة لإعادة تكوين عبارة صحيحة ومتسلسلة منطقياً. | إعادة ترتيب الجمل ترتيباً منطقياً | يرتب الجمل ترتيباً صحيحاً ودقيقاً. | يرتب معظم الجمل ترتيباً جزئياً. | يخطئ في ترتيب الجمل.
الأنماط اللغوية | توظيف القواعد الإملائية والنحوية الأساسية | توظيف ال الشمسية والقمرية، والنون والتنوين، والتاء المربوطة والهاء، وهمزتَي الوصل والقطع، وأدوات الربط، والمفرد والمثنى والجمع (دون تقعيد) في جمل فقرات وبسيطة. | تطبيق القواعد الأساسية، وتوظيفها في جمل وفقرات قصيرة. | يطبّق الأنماط بدقة في التعبير الشفهي والكتابي. | يطبّق معظم الأنماط مع أخطاء بسيطة. | يطبق بعض الأنماط بصورة غير مستقرة.
